,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,neighborhood,year_remod/add,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,foundation,bsmt_cond,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,totrms_abvgrd,functional,garage_type,garage_cond,paved_drive,wood_deck_sf,sale_type,saleprice,exter_qual_cond,overall_qual_cond,bsmt,heatingmod,kitchen_and_qual,fireplaces_and_qual,garage,porch_total,age
24,190,RL,100.0,34650,Pave,None,Gilbert,1955,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,1056,0,0,1056,1.0,0.0,1,5,8,Attchd,TA,Y,264,WD ,145000,9,25,9504.0,0.9074944103071056,3,0,10296.0,0,51
25,20,RL,92.0,10573,Pave,None,NAmes,1961,MetalSd,MetalSd,BrkFace,3.0,CBlock,TA,1453,0,0,1453,1.0,0.0,2,6,8,Attchd,TA,Y,0,WD ,187500,9,36,8718.0,1.512490683845176,3,3,6360.0,337,48
26,20,RL,65.0,8450,Pave,None,Sawyer,2009,MetalSd,MetalSd,None,0.0,CBlock,TA,894,0,0,894,1.0,0.0,1,5,8,Detchd,TA,Y,416,WD ,138500,12,40,7140.0,1.512490683845176,3,4,1008.0,144,45
27,50,RL,0.0,11700,Pave,Grvl,Crawfor,1995,WdShing,Wd Shng,None,0.0,CBlock,TA,1265,673,0,1938,0.0,0.0,2,7,6,Detchd,TA,Y,0,WD ,198000,9,30,6258.0,1.512490683845176,4,4,720.0,40,71
28,190,C (all),75.0,8250,Pave,None,IDOTRR,2006,VinylSd,VinylSd,None,0.0,CBlock,TA,1034,957,0,1991,0.0,0.0,2,9,8,None,None,N,0,WD ,119600,12,30,5742.0,0.6049962735380704,6,0,0.0,0,112
29,50,RL,60.0,8064,Pave,None,NAmes,2006,MetalSd,MetalSd,None,0.0,CBlock,TA,672,252,0,924,0.0,0.0,1,6,8,Detchd,TA,Y,0,WD ,122900,12,35,8064.0,1.512490683845176,3,1,3456.0,0,58
30,20,RL,80.0,9600,Pave,None,NWAmes,1981,BrkFace,BrkFace,None,0.0,PConc,TA,2524,0,0,2524,1.0,0.0,2,9,8,Attchd,TA,Y,474,WD ,278000,12,40,21296.0,0.9074944103071056,4,4,9756.0,120,28
31,70,RL,0.0,11435,Pave,None,Crawfor,1950,BrkFace,Stucco,None,0.0,PConc,TA,792,725,0,1517,0.0,0.0,1,7,8,Detchd,TA,Y,0,WD ,230000,9,56,6336.0,0.6049962735380704,4,8,2400.0,0,77
32,120,RL,30.0,9549,Pave,None,Veenker,1996,BrkFace,BrkFace,None,0.0,PConc,Gd,1494,0,0,1494,1.0,0.0,1,6,8,Attchd,TA,Y,0,WD ,270000,16,40,25144.0,1.512490683845176,5,4,8658.0,246,11
33,20,RL,60.0,10950,Pave,None,NAmes,1952,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,948,0,0,948,0.0,0.0,1,5,8,Detchd,TA,N,0,WD ,125000,9,36,6570.0,0.9074944103071056,3,0,2460.0,48,55
34,20,RL,79.0,10637,Pave,None,CollgCr,2008,VinylSd,VinylSd,Stone,336.0,PConc,TA,1718,0,0,1718,1.0,0.0,2,7,8,Attchd,TA,Y,208,WD ,297000,12,40,50168.0,1.512490683845176,4,4,14868.0,44,2
35,20,RL,80.0,9000,Pave,None,NAmes,1958,Wd Sdng,Wd Sdng,BrkFace,82.0,CBlock,TA,1142,0,0,1142,0.0,0.0,1,5,8,Basment,TA,Y,0,WD ,113500,9,36,5120.0,0.6049962735380704,3,4,2304.0,28,51
36,160,RM,41.0,2665,Pave,None,MeadowV,1977,CemntBd,CmentBd,None,0.0,PConc,TA,925,550,0,1475,0.0,0.0,2,6,8,Attchd,TA,Y,104,WD ,127000,9,30,5638.0,1.512490683845176,3,3,2016.0,26,29
37,20,RL,105.0,11751,Pave,None,NWAmes,1977,Plywood,Plywood,BrkFace,480.0,CBlock,TA,1844,0,0,1844,0.0,0.0,2,7,8,Attchd,TA,Y,0,COD,190000,9,36,14752.0,1.512490683845176,3,3,6552.0,122,33
38,20,RL,80.0,9600,Pave,None,NWAmes,1973,HdBoard,HdBoard,BrkFace,320.0,CBlock,TA,1242,0,0,1242,0.0,0.0,1,6,8,Attchd,TA,Y,0,WD ,175500,9,42,9284.0,0.6049962735380704,3,3,3168.0,0,34
39,20,RL,60.0,8428,Pave,None,CollgCr,1994,VinylSd,VinylSd,None,0.0,PConc,Gd,990,0,0,990,1.0,0.0,1,5,8,Detchd,TA,Y,256,WD ,146000,12,35,8760.0,1.512490683845176,3,0,1152.0,0,13
40,20,RL,75.0,9937,Pave,None,Edwards,1965,HdBoard,HdBoard,None,0.0,CBlock,TA,1256,0,0,1256,1.0,0.0,1,6,8,Attchd,TA,Y,736,WD ,147500,12,30,8076.0,1.2099925470761408,3,0,2484.0,68,43
42,85,RL,0.0,9101,Pave,None,Mitchel,1978,Plywood,Plywood,BrkFace,104.0,PConc,TA,1110,0,0,1110,1.0,0.0,1,4,8,Attchd,TA,Y,303,WD ,165500,12,30,19746.0,1.512490683845176,4,3,10836.0,30,31
43,50,RM,81.0,12150,Pave,Grvl,OldTown,1954,MetalSd,MetalSd,BrkFace,335.0,BrkTil,TA,1050,745,0,1795,0.0,0.0,2,7,8,Attchd,TA,Y,0,WD ,131500,9,25,6300.0,1.512490683845176,3,0,704.0,0,54
44,20,RL,70.0,11200,Pave,None,Sawyer,1965,HdBoard,HdBoard,None,0.0,CBlock,TA,1040,0,0,1040,1.0,0.0,1,5,8,Detchd,TA,Y,0,WD ,129500,9,25,6240.0,1.512490683845176,3,0,1152.0,0,43
45,70,RL,100.0,9670,Pave,None,Crawfor,1950,BrkFace,Stucco,Stone,40.0,PConc,Fa,983,890,0,1873,0.0,0.0,1,9,8,Detchd,TA,Y,0,WD ,257076,9,48,3438.0,0.9074944103071056,3,8,9432.0,0,73
46,50,RL,60.0,10998,Pave,Grvl,Edwards,1960,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,984,620,0,1604,0.0,0.0,2,6,6,Detchd,TA,Y,0,WD ,117000,9,25,5916.0,1.512490683845176,3,0,3960.0,68,68
47,70,RL,60.0,7200,Pave,None,Crawfor,2000,Stucco,Wd Shng,None,0.0,BrkTil,TA,851,651,0,1502,0.0,0.0,1,6,8,Attchd,TA,P,0,WD ,149000,6,42,6208.0,0.9074944103071056,3,4,1620.0,0,77
48,20,RL,80.0,9920,Pave,None,NAmes,1954,HdBoard,HdBoard,Stone,110.0,CBlock,TA,1063,0,0,1063,1.0,0.0,1,6,8,Attchd,TA,Y,0,WD ,128000,9,25,6046.0,0.9074944103071056,3,0,1680.0,0,56
49,160,RL,36.0,2448,Pave,None,NridgHt,2004,VinylSd,Wd Shng,Stone,106.0,PConc,TA,764,862,0,1626,0.0,0.0,2,6,8,BuiltIn,TA,Y,0,WD ,155000,12,35,6112.0,1.512490683845176,4,0,5688.0,27,5
50,160,FV,0.0,2998,Pave,None,Somerst,2000,MetalSd,MetalSd,BrkFace,513.0,PConc,TA,768,756,0,1524,0.0,0.0,2,4,8,Detchd,TA,Y,0,WD ,166000,12,30,6754.0,1.512490683845176,4,0,2640.0,32,6
51,50,RL,65.0,7804,Pave,None,SWISU,1950,WdShing,Plywood,None,0.0,BrkTil,TA,1328,653,0,1981,1.0,0.0,2,7,6,Detchd,TA,Y,431,WD ,135000,9,12,7354.0,0.9074944103071056,4,6,3456.0,44,81
52,60,RL,80.0,16692,Pave,None,NWAmes,1978,Plywood,Plywood,BrkFace,184.0,CBlock,TA,1392,1392,0,2784,1.0,0.0,3,12,8,Attchd,TA,Y,0,WD ,250000,9,35,10198.0,0.9074944103071056,4,6,6768.0,552,28
53,160,RM,21.0,1476,Pave,None,MeadowV,1970,CemntBd,CmentBd,None,0.0,CBlock,TA,546,546,0,1092,0.0,0.0,1,5,8,None,None,Y,200,WD ,76000,9,28,3804.0,1.512490683845176,3,0,0.0,26,40
54,20,RL,75.0,10170,Pave,None,NAmes,1951,Wd Sdng,Wd Sdng,BrkFace,522.0,CBlock,TA,1575,0,0,1575,0.0,0.0,1,5,8,Attchd,TA,Y,0,WD ,155000,9,36,1296.0,0.9074944103071056,4,4,2400.0,0,55
55,60,RL,80.0,9364,Pave,None,Sawyer,1969,HdBoard,HdBoard,Stone,143.0,CBlock,TA,663,689,0,1352,0.0,0.0,1,7,8,Attchd,TA,Y,379,WD ,158000,9,42,4720.0,0.9074944103071056,3,0,2691.0,36,41
56,160,FV,24.0,2544,Pave,Pave,Somerst,2005,MetalSd,MetalSd,None,0.0,PConc,TA,600,600,0,1200,1.0,0.0,2,4,8,Detchd,TA,Y,0,WD ,149500,12,35,5578.0,1.512490683845176,4,0,5760.0,172,6
57,20,RL,82.0,9888,Pave,None,NAmes,1975,MetalSd,MetalSd,None,0.0,CBlock,TA,936,0,0,936,0.0,0.0,1,5,8,Attchd,TA,Y,0,WD ,121000,12,30,6102.0,0.9074944103071056,3,0,720.0,0,52
58,20,RL,68.0,7942,Pave,None,NAmes,1953,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,1040,0,0,1040,0.0,1.0,1,6,8,Attchd,TA,Y,0,WD ,136000,9,42,8150.0,0.9074944103071056,3,0,2637.0,0,54
59,60,RL,0.0,15038,Pave,None,Gilbert,1996,HdBoard,HdBoard,None,0.0,PConc,TA,916,720,0,1636,0.0,0.0,2,7,8,Attchd,TA,Y,168,WD ,173000,9,30,7190.0,1.2099925470761408,3,3,6948.0,84,12
60,60,RL,92.0,11764,Pave,None,NoRidge,2007,VinylSd,VinylSd,BrkFace,348.0,PConc,TA,1164,1106,0,2270,0.0,0.0,2,9,8,Attchd,TA,Y,132,WD ,290000,12,56,10264.0,1.512490683845176,4,4,18117.0,57,11
61,60,FV,75.0,9000,Pave,None,Somerst,2007,CemntBd,CmentBd,None,0.0,PConc,TA,1184,1426,0,2610,0.0,0.0,2,11,8,BuiltIn,TA,Y,208,New,303477,12,40,28032.0,1.512490683845176,5,4,9900.0,364,0
62,20,RL,0.0,20062,Pave,None,ClearCr,2001,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,1483,0,0,1483,1.0,0.0,1,4,8,Attchd,TA,Y,496,WD ,270000,16,49,33428.0,1.2099925470761408,3,6,8280.0,0,33
63,50,RM,81.0,7308,Pave,None,OldTown,1950,WdShing,Wd Shng,None,0.0,BrkTil,TA,960,780,0,1740,0.0,0.0,1,6,8,Detchd,Fa,N,0,WD ,122250,4,25,5616.0,1.2099925470761408,5,4,450.0,0,88
64,20,RL,70.0,8750,Pave,None,NAmes,1955,AsbShng,AsbShng,None,0.0,CBlock,TA,1382,0,0,1382,0.0,1.0,1,6,8,Attchd,TA,Y,280,WD ,153000,9,25,7809.0,1.2099925470761408,4,0,1050.0,0,54
65,20,RL,70.0,8402,Pave,None,Mitchel,2007,VinylSd,VinylSd,None,0.0,PConc,TA,1120,0,0,1120,0.0,0.0,1,6,8,None,None,Y,0,New,147000,9,25,9166.0,1.512490683845176,3,0,0.0,30,0
66,70,RL,63.0,4000,Pave,None,Crawfor,1995,Wd Sdng,Wd Sdng,None,0.0,BrkTil,TA,567,531,0,1098,1.0,0.0,1,5,8,Detchd,TA,Y,0,WD ,148500,9,56,4740.0,0.9074944103071056,3,4,648.0,0,77
67,160,RM,32.0,3363,Pave,None,Edwards,2004,VinylSd,VinylSd,Stone,117.0,PConc,TA,976,732,0,1708,0.0,0.0,2,7,4,Detchd,TA,Y,0,WD ,130000,12,35,7808.0,1.512490683845176,4,0,2280.0,40,2
68,20,RL,94.0,13615,Pave,None,NridgHt,2006,MetalSd,MetalSd,Stone,510.0,PConc,TA,1802,0,0,1802,0.0,0.0,2,7,8,Attchd,TA,Y,158,WD ,372000,15,45,72080.0,1.512490683845176,5,4,22761.0,105,1
69,120,RL,43.0,3013,Pave,None,Blmngtn,2005,VinylSd,VinylSd,BrkFace,145.0,PConc,TA,1506,0,0,1506,0.0,0.0,2,6,8,Attchd,TA,Y,142,WD ,213490,12,35,43424.0,1.512490683845176,4,4,7920.0,20,1
70,20,RL,44.0,17485,Pave,None,Edwards,2010,VinylSd,VinylSd,Stone,96.0,PConc,TA,1508,0,0,1508,1.0,0.0,1,5,8,Attchd,TA,Y,0,Con,308030,12,35,34796.0,1.512490683845176,4,6,6864.0,0,1
71,20,RL,0.0,23730,Pave,None,Mitchel,1997,MetalSd,MetalSd,BrkFace,668.0,PConc,TA,2032,0,0,2032,1.0,0.0,3,7,8,Attchd,TA,Y,0,WD ,300000,12,35,34000.0,1.512490683845176,4,0,21222.0,46,12
72,20,RL,79.0,8910,Pave,None,NAmes,1959,BrkFace,BrkFace,None,0.0,CBlock,TA,1194,0,0,1194,0.0,1.0,1,6,8,BuiltIn,TA,Y,0,WD ,159500,9,36,7205.0,1.512490683845176,3,2,9702.0,0,47
73,160,RM,24.0,2522,Pave,None,Edwards,2004,VinylSd,VinylSd,Stone,50.0,PConc,TA,970,739,0,1709,0.0,0.0,2,7,4,Detchd,TA,Y,0,WD ,137500,12,35,7760.0,1.512490683845176,4,0,2280.0,40,2
74,20,RL,73.0,8688,Pave,None,Somerst,2005,VinylSd,VinylSd,BrkFace,228.0,PConc,TA,1616,0,0,1616,0.0,0.0,2,7,8,Attchd,TA,Y,208,WD ,232000,12,35,38784.0,1.512490683845176,4,0,15012.0,59,1
75,30,RM,0.0,6291,Grvl,None,IDOTRR,1950,Stucco,Wd Shng,None,0.0,BrkTil,TA,768,0,0,768,0.0,0.0,1,4,8,Detchd,TA,N,0,WD ,93850,16,36,4608.0,0.9074944103071056,3,0,2640.0,0,78
76,30,RL,0.0,17529,Pave,None,Sawyer,1950,BrkFace,Wd Sdng,Stone,65.0,BrkTil,TA,872,0,0,872,0.0,0.0,1,5,5,Detchd,Fa,N,0,WD ,105000,9,25,5232.0,0.6049962735380704,2,4,644.0,0,82
77,30,RM,60.0,6324,Pave,None,BrkSide,1950,MetalSd,MetalSd,None,0.0,BrkTil,TA,520,0,0,520,0.0,0.0,1,4,8,Detchd,TA,Y,49,WD ,68500,9,24,3120.0,0.6049962735380704,2,0,480.0,0,81
78,90,RL,80.0,11600,Pave,None,NAmes,1960,MetalSd,MetalSd,BrkFace,361.0,CBlock,TA,1105,1169,0,2274,0.0,0.0,2,12,8,Detchd,TA,Y,0,WD ,154300,9,25,6630.0,0.9074944103071056,6,0,2880.0,0,50
79,50,RM,50.0,7288,Pave,None,IDOTRR,2003,VinylSd,VinylSd,None,0.0,BrkTil,Po,936,665,0,1601,0.0,0.0,2,6,8,None,None,N,0,WD ,129850,16,35,5616.0,1.512490683845176,3,0,0.0,176,82
80,70,RM,35.0,4571,Pave,Grvl,OldTown,1950,MetalSd,MetalSd,None,0.0,BrkTil,TA,616,616,0,1232,0.0,0.0,1,6,8,Detchd,Fa,Y,280,WD ,114000,9,35,3864.0,1.512490683845176,3,0,1920.0,0,97
81,20,RL,63.0,17423,Pave,None,StoneBr,2009,VinylSd,VinylSd,Stone,748.0,PConc,TA,2234,0,0,2234,1.0,0.0,2,9,8,Attchd,TA,Y,0,New,501837,15,45,24064.0,1.512490683845176,5,4,31482.0,60,1
82,50,RM,100.0,12665,Pave,Grvl,OldTown,1950,Wd Sdng,Wd Sdng,None,0.0,BrkTil,TA,876,540,0,1416,0.0,0.0,1,7,8,Detchd,TA,Y,418,WD ,153900,9,40,10512.0,1.2099925470761408,3,4,6480.0,0,93
83,20,RL,60.0,9000,Pave,None,NAmes,2006,VinylSd,VinylSd,None,0.0,CBlock,TA,864,0,0,864,0.0,0.0,1,5,8,Detchd,TA,Y,200,WD ,130000,12,28,5664.0,1.2099925470761408,3,0,3456.0,0,38
84,120,RM,32.0,4500,Pave,None,Mitchel,1997,VinylSd,VinylSd,BrkFace,197.0,PConc,TA,1189,0,0,1189,1.0,0.0,2,4,8,Attchd,TA,Y,0,WD ,160500,9,30,12754.0,1.512490683845176,3,0,4704.0,122,11
85,120,RL,48.0,6373,Pave,None,NridgHt,2006,MetalSd,MetalSd,BrkFace,572.0,PConc,Gd,1666,0,0,1666,1.0,0.0,2,6,8,Attchd,TA,Y,228,New,310090,15,45,17075.0,1.512490683845176,4,4,6900.0,75,0
87,20,RL,70.0,13300,Pave,None,NAmes,2000,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,928,0,0,928,0.0,0.0,1,4,8,Attchd,TA,Y,261,WD ,132000,9,35,7047.0,0.9074944103071056,3,0,756.0,0,51
88,20,RL,80.0,9600,Pave,None,NWAmes,1969,HdBoard,HdBoard,BrkFace,128.0,CBlock,TA,1336,0,0,1336,0.0,1.0,2,6,8,Attchd,TA,Y,312,WD ,163000,9,25,18214.0,0.9074944103071056,3,2,6024.0,11,40
89,160,FV,30.0,3215,Pave,Pave,Somerst,2004,MetalSd,MetalSd,BrkFace,120.0,PConc,TA,600,600,0,1200,0.0,0.0,2,4,8,Detchd,TA,Y,0,ConLD,155000,12,35,12720.0,1.512490683845176,4,0,5760.0,172,6
90,80,RL,0.0,11104,Pave,None,NWAmes,1969,MetalSd,MetalSd,None,0.0,CBlock,TA,1427,0,0,1427,0.0,1.0,2,7,8,Attchd,TA,Y,0,WD ,183000,9,36,23202.0,1.2099925470761408,3,0,6192.0,216,39
91,60,RL,0.0,15295,Pave,None,CollgCr,2002,VinylSd,VinylSd,BrkFace,254.0,PConc,TA,1212,780,0,1992,1.0,0.0,2,7,6,Attchd,TA,Y,225,WD ,211000,12,35,12236.0,1.512490683845176,4,6,7296.0,32,11
92,60,RL,70.0,9109,Pave,None,SawyerW,1994,VinylSd,VinylSd,None,0.0,PConc,TA,754,786,0,1540,1.0,0.0,2,6,8,Attchd,TA,Y,140,WD ,184000,12,35,7152.0,1.512490683845176,4,0,5940.0,32,15
93,90,RL,64.0,7018,Pave,None,SawyerW,1979,HdBoard,HdBoard,None,0.0,Slab,None,1535,0,0,1535,0.0,0.0,2,8,8,Attchd,TA,Y,0,WD ,118858,9,25,0.0,0.9074944103071056,6,0,2400.0,0,30
94,80,RL,0.0,14112,Pave,None,NAmes,1964,Wd Sdng,HdBoard,BrkFace,86.0,PConc,TA,1152,0,0,1152,1.0,0.0,1,6,8,Attchd,TA,Y,227,WD ,180500,9,35,17694.0,0.9074944103071056,3,4,5808.0,0,46
95,120,FV,80.0,3523,Pave,Pave,Somerst,2007,VinylSd,VinylSd,Stone,30.0,PConc,TA,1151,0,0,1151,1.0,0.0,2,5,8,Attchd,TA,Y,0,New,166000,12,40,9248.0,1.512490683845176,4,0,8712.0,60,1
96,80,RL,88.0,15312,Pave,None,Sawyer,1960,Wd Sdng,Wd Sdng,BrkFace,54.0,CBlock,TA,1138,0,0,1138,0.0,1.0,1,6,8,Attchd,TA,Y,0,COD,148000,9,30,17544.0,1.512490683845176,3,3,5760.0,140,49
97,20,RL,74.0,7450,Pave,None,NAmes,1956,Wd Sdng,Wd Sdng,None,0.0,CBlock,TA,1074,0,0,1074,0.0,0.0,1,6,7,Detchd,TA,Y,0,WD ,124000,9,25,5158.0,1.2099925470761408,4,4,2376.0,72,51
98,120,RL,60.0,7313,Pave,None,NridgHt,2005,MetalSd,MetalSd,BrkFace,246.0,PConc,TA,1561,0,0,1561,1.0,0.0,2,6,8,Attchd,TA,Y,203,WD ,277500,15,45,16763.0,1.512490683845176,5,4,10008.0,47,2
99,60,RL,83.0,10019,Pave,None,NoRidge,1995,VinylSd,VinylSd,BrkFace,397.0,PConc,TA,1358,1368,0,2726,0.0,0.0,2,9,8,Attchd,TA,Y,307,WD ,350000,12,40,11263.0,1.512490683845176,4,5,13050.0,169,11
100,20,RL,53.0,15401,Pave,None,StoneBr,2004,VinylSd,VinylSd,BrkFace,296.0,PConc,TA,1884,0,0,1884,1.0,0.0,2,7,8,Attchd,TA,Y,214,WD ,387000,15,45,56642.0,1.512490683845176,5,4,18090.0,76,4
101,30,RL,58.0,9098,Pave,None,Edwards,2002,Wd Sdng,Wd Sdng,None,0.0,BrkTil,TA,605,0,0,605,1.0,0.0,1,5,8,None,None,N,0,WD ,86000,9,28,5988.0,1.512490683845176,3,0,0.0,0,87
102,20,RL,103.0,16280,Pave,None,Veenker,2007,VinylSd,VinylSd,None,0.0,CBlock,Ex,1671,0,0,1671,1.0,0.0,3,6,8,Attchd,TA,Y,280,WD ,290000,25,72,18818.0,1.512490683845176,5,4,6600.0,90,32
103,30,C (all),72.0,9392,Pave,None,IDOTRR,1950,AsbShng,AsbShng,None,0.0,CBlock,TA,797,0,0,797,0.0,0.0,1,5,8,None,None,N,0,WD ,44000,6,9,980.0,0.9074944103071056,3,0,0.0,36,109
104,60,RL,71.0,12209,Pave,None,Mitchel,2002,VinylSd,VinylSd,None,0.0,PConc,TA,804,1157,0,1961,1.0,0.0,2,7,8,BuiltIn,TA,Y,125,WD ,215000,9,30,8040.0,1.512490683845176,4,3,10080.0,192,8
105,190,RL,79.0,13110,Pave,None,NWAmes,1972,Plywood,Plywood,BrkFace,144.0,CBlock,TA,1193,0,0,1193,1.0,0.0,2,6,8,Attchd,TA,Y,140,WD ,146500,9,30,11148.0,1.512490683845176,3,0,9018.0,153,34
